Store_Name,Store_Type,Address,Address_Line__2,City,State,Zip5,Zip4,County,Longitude,Latitude,X,Y,ObjectId,unique_ID,current_partner,potential_partner
Target 1176,Large Grocery Chain,1700 E Rand Rd,NA,Arlington Heights,IL,60004,4379,COOK,-87.961418,42.099907,-87.961418,42.099907,150192,170060004,No,Potential Partner
PARKER HOUSE SAUSAGE CO.,NA,4605 S State St,NA,Chicago,IL,60609,4699,COOK,-87.62603,41.810932,-87.62603,41.810932,150209,460560609,No,NA
International Supermarket,Grocery Store,4556 S Ashland Ave,NA,Chicago,IL,60609,3249,COOK,-87.6651,41.811207,-87.6651,41.811207,150212,455660609,No,Potential Partner
SUPERMERCADO EL GUERO NO  1,Grocery Store,1701 W 47th St,NA,Chicago,IL,60609,3823,COOK,-87.66758,41.808544,-87.66758,41.808544,150213,170160609,No,Potential Partner
Thorntons 129,Convenience Store,2201 N Green Bay Rd,NA,Waukegan,IL,60087,4274,LAKE,-87.883667,42.392387,-87.883667,42.392387,150214,220160087,No,Unqualified
WALGREENS  03749,Convenience Store,2200 N Lewis Ave,NA,Waukegan,IL,60087,3885,LAKE,-87.855309,42.392429,-87.855309,42.392429,150215,220060087,No,Unqualified
Express Dollar,Dollar Store,7029 N Clark St,NA,Chicago,IL,60626,5194,COOK,-87.673889,42.009838,-87.673889,42.009838,150219,702960626,No,Unqualified
Jewel/Osco 3538,Large Grocery Chain,1763 W Howard St,NA,Chicago,IL,60626,1626,COOK,-87.674545,42.017494,-87.674545,42.017494,150220,176360626,No,Potential Partner
Fine Fair Food & Liquor,Liquor Store,3357 W 16th St,NA,Chicago,IL,60623,2145,COOK,-87.710014,41.858887,-87.710014,41.858887,150221,335760623,No,Unqualified
26 Discount Plus,NA,4043 W 26th St,NA,Chicago,IL,60623,3701,COOK,-87.72628,41.843948,-87.72628,41.843948,150223,404360623,No,NA
Mahira Yashfeen Investments,NA,1501 W Jarvis Ave,NA,Chicago,IL,60626,1908,COOK,-87.668541,42.015743,-87.668541,42.015743,150226,150160626,No,NA
7-Eleven 33901,Convenience Store,833 Van Buren,NA,Chicago,IL,60607,NA,COOK,-87.648438,41.87656,-87.648438,41.87656,150265,83360607,No,Unqualified
7-Eleven 20075D,Convenience Store,1601 Nerge Rd,NA,Elk Grove Village,IL,60007,2971,COOK,-88.046555,41.999256,-88.046555,41.999256,150271,160160007,No,Unqualified
Zake Convenience,Convenience Store,824 7th St,NA,Rockford,IL,61104,1308,WINNEBAGO,-89.080811,42.25861,-89.080811,42.25861,150290,82461104,No,Unqualified
Falcons Convenient Store,Convenience Store,715 E Sibley Blvd,NA,Dolton,IL,60419,2128,COOK,-87.601799,41.622261,-87.601799,41.622261,150326,71560419,No,Unqualified
Family Dollar 11697,Dollar Store,803 E Lincoln Hwy,NA,Ford Heights,IL,60411,2923,COOK,-87.596764,41.50629,-87.596764,41.50629,150359,80360411,No,Unqualified
Jewel Food Store 2602,Large Grocery Chain,3644 S Archer Ave,NA,Chicago,IL,60609,1044,COOK,-87.682854,41.827286,-87.682854,41.827286,150386,364460609,No,Potential Partner
